"Customer","Type","Type (Online - Virtual or Physical)","Channel Category","Country Code","Nation Name","Region Name","State/Province Name","City Name","District Name","Location Name","Postal Code","Address","Group","Region Site Group Name","REP Flag","Latitude","Longitude","Initially Admitted","Updated Dttm"
"Akkol-o2-Nurmagambetova-stroenie-40","STORE","PHYSICAL","ELECTRONICS CHAIN","KZ","KAZAKHSTAN","Northern","Akmolinskaya","Kokshetau","","Kokshetau(KZ003017017)","","Kokshetau, Akmolinskaya, KAZAKHSTAN","CXXYR90YRFK08","","Y","","","2021/09/28 12:46:55","2022/06/22 13:22:43"
"Akmolinskaya-o2-raion-Esilskyi-Esil-Alikhana-Bokeihana-37","STORE","PHYSICAL","ELECTRONICS CHAIN","KZ","KAZAKHSTAN","Northern","Akmolinskaya","Kokshetau","","Kokshetau(KZ003017017)","","Kokshetau, Akmolinskaya, KAZAKHSTAN","CXXYR90YRFK08","","","","","2021/12/08 19:57:06","2024/06/03 03:07:05"
"Aksai-Aziya Svyaznoi-4Mkr","STORE","PHYSICAL","ELECTRONICS CHAIN","KZ","KAZAKHSTAN","Western","Zapadno-Kazakhstanskaya","Aksai","","Aksai(KZ001001033)","","ul.S.Datova","CXX3YR0080YR","","","","","2014/10/23 18:35:20","2019/01/28 03:05:05"
"Aksai-DPD-Molodezhnaya-13-TRC-Sharsuat","STORE","VIRTUAL","ELECTRONICS CHAIN","KZ","KAZAKHSTAN","Western","Zapadno-Kazakhstanskaya","Aksai","","Aksai(KZ001001033)","","г. Аксай ул. Молодежная 13 ТРЦ ""Shar","CXX3YR00800","","Y","","","2019/03/19 18:40:23","2024/05/03 17:47:44"
"Aksai-Kvant- TC KAzakhstan","STORE","PHYSICAL","ELECTRONICS CHAIN","KZ","KAZAKHSTAN","Western","Zapadno-Kazakhstanskaya","Aksai","","Aksai(KZ001001033)","","C KAzakhstan","CXX3YR00804","","","","","2014/11/27 14:26:18","2019/01/28 03:05:05"
"Aksai-nokia-Edelvis","STORE","VIRTUAL","ELECTRONICS CHAIN","KZ","KAZAKHSTAN","Western","Zapadno-Kazakhstanskaya","Uralsk","","Uralsk(KZ002013014)","","Druzhby Narodov 6/7a","CXX3YR00800","","Y","","","2016/05/17 12:51:25","2024/05/03 17:47:44"
"Aksai-nokia-Molodezhnaya 13","STORE","VIRTUAL","ELECTRONICS CHAIN","KZ","KAZAKHSTAN","Western","Zapadno-Kazakhstanskaya","Aksai","","Aksai(KZ001001033)","","Molodezhnaya 13 TRC Shar","CXX3YR00800","","Y","51.167637","53.028629","2014/08/01 19:06:23","2024/05/03 17:47:44"
"Aksai-o2-Zharsuat","STORE","PHYSICAL","ELECTRONICS CHAIN","KZ","KAZAKHSTAN","Western","Zapadno-Kazakhstanskaya","Aksai","","Aksai(KZ001001033)","","Molodezhnaya 13","CXXYR90YRFK08","","Y","","","2013/05/22 20:44:48","2022/05/31 17:36:31"
"Aksai-o2-Zheleznodorojnaya127","STORE","PHYSICAL","ELECTRONICS CHAIN","KZ","KAZAKHSTAN","Western","Zapadno-Kazakhstanskaya","Aksai","","Aksai(KZ001001033)","","Аксай, ул. Железнодорожная, д 127а, Aksai, Zapadno-Kazakhstanskaya, KAZAKHSTAN","CXXYR90YRFK08","","Y","","","2021/05/12 15:04:18","2021/08/02 18:20:40"
"Aksai-tesla-mkr-5a-dom-6a","STORE","PHYSICAL","ELECTRONICS CHAIN","KZ","KAZAKHSTAN","Western","Zapadno-Kazakhstanskaya","Aksai","","Aksai(KZ001001033)","","Aksai, Zapadno-Kazakhstanskaya, KAZAKHSTAN","CXXYR90YRFK00","","Y","","","2021/10/19 12:06:54","2022/08/19 14:41:52"
